src_load,tgt_load,task,classifier,full_120,bot40,gain
0,1,0HP->1HP,SVM-RBF,0.9856584093872229,0.9934810951760105,0.007822685788787531
0,1,0HP->1HP,LinearSVM,0.9804432855280313,1.0,0.019556714471968717
0,1,0HP->1HP,LR,1.0,1.0,0.0
0,1,0HP->1HP,KNN,0.9921773142112125,0.9973924380704041,0.0052151238591916504
0,2,0HP->2HP,SVM-RBF,0.8852672750977836,0.9934810951760105,0.10821382007822689
0,2,0HP->2HP,LinearSVM,0.8513689700130378,0.9752281616688396,0.12385919165580184
0,2,0HP->2HP,LR,0.8983050847457628,1.0,0.10169491525423724
0,2,0HP->2HP,KNN,0.9217731421121251,0.9934810951760105,0.07170795306388533
0,3,0HP->3HP,SVM-RBF,0.7893368010403121,0.9895968790637191,0.20026007802340695
0,3,0HP->3HP,LinearSVM,0.846553966189857,0.893368010403121,0.04681404421326396
0,3,0HP->3HP,LR,0.846553966189857,0.988296488946684,0.14174252275682697
0,3,0HP->3HP,KNN,0.8595578673602081,0.9934980494148244,0.13394018205461633
1,0,1HP->0HP,SVM-RBF,0.9830769230769231,0.9969230769230769,0.013846153846153841
1,0,1HP->0HP,LinearSVM,0.9969230769230769,1.0,0.003076923076923088
1,0,1HP->0HP,LR,0.9923076923076923,1.0,0.007692307692307665
1,0,1HP->0HP,KNN,0.9892307692307692,0.9984615384615385,0.009230769230769265
1,2,1HP->2HP,SVM-RBF,1.0,0.9960886571056062,-0.003911342894393766
1,2,1HP->2HP,LinearSVM,1.0,1.0,0.0
1,2,1HP->2HP,LR,1.0,1.0,0.0
1,2,1HP->2HP,KNN,1.0,0.9986962190352021,-0.0013037809647978849
1,3,1HP->3HP,SVM-RBF,0.9726918075422627,1.0,0.0273081924577373
1,3,1HP->3HP,LinearSVM,0.8595578673602081,1.0,0.14044213263979188
1,3,1HP->3HP,LR,0.9908972691807543,1.0,0.00910273081924573
1,3,1HP->3HP,KNN,1.0,0.9934980494148244,-0.006501950585175553
2,0,2HP->0HP,SVM-RBF,0.9784615384615385,0.9261538461538461,-0.05230769230769239
2,0,2HP->0HP,LinearSVM,0.9984615384615385,1.0,0.0015384615384614886
2,0,2HP->0HP,LR,0.9923076923076923,0.9784615384615385,-0.013846153846153841
2,0,2HP->0HP,KNN,0.9907692307692307,0.94,-0.05076923076923079
2,1,2HP->1HP,SVM-RBF,0.9986962190352021,0.9869621903520208,-0.011734028683181297
2,1,2HP->1HP,LinearSVM,1.0,1.0,0.0
2,1,2HP->1HP,LR,1.0,0.9921773142112125,-0.007822685788787531
2,1,2HP->1HP,KNN,1.0,0.9817470664928292,-0.018252933507170832
2,3,2HP->3HP,SVM-RBF,0.9986996098829649,0.9947984395318595,-0.0039011703511053764
2,3,2HP->3HP,LinearSVM,1.0,0.9986996098829649,-0.0013003901170350884
2,3,2HP->3HP,LR,0.9973992197659298,0.9921976592977894,-0.005201560468140465
2,3,2HP->3HP,KNN,1.0,0.9934980494148244,-0.006501950585175553
3,0,3HP->0HP,SVM-RBF,0.8815384615384615,0.92,0.03846153846153855
3,0,3HP->0HP,LinearSVM,0.9030769230769231,0.9461538461538461,0.04307692307692301
3,0,3HP->0HP,LR,0.9953846153846154,0.963076923076923,-0.03230769230769237
3,0,3HP->0HP,KNN,0.9584615384615385,0.9323076923076923,-0.026153846153846194
3,1,3HP->1HP,SVM-RBF,0.9856584093872229,0.9830508474576272,-0.0026075619295957697
3,1,3HP->1HP,LinearSVM,0.9517601043024772,0.9986962190352021,0.046936114732724965
3,1,3HP->1HP,LR,0.9986962190352021,0.9869621903520208,-0.011734028683181297
3,1,3HP->1HP,KNN,0.9921773142112125,0.9687092568448501,-0.02346805736636237
3,2,3HP->2HP,SVM-RBF,0.9973924380704041,0.9947848761408083,-0.0026075619295957697
3,2,3HP->2HP,LinearSVM,1.0,0.9986962190352021,-0.0013037809647978849
3,2,3HP->2HP,LR,1.0,0.9986962190352021,-0.0013037809647978849
3,2,3HP->2HP,KNN,0.9986962190352021,0.9947848761408083,-0.003911342894393766
